Date,Headline,News,Analysis,Feature,Sports,Video/Audio,Photo,Illustration,Interactive,Text,Link,,,,,,,,,,,,,,,,,Source,image_path,Id,name,sales,publisher
11-Oct,Tampa Bay's Coming Storm,,,x,,,,,,x,https://www.washingtonpost.com/graphics/2017/health/environment/tampa-bay-climate-change/?tid=graphics-story&utm_term=.fac03150e10a,,,,,,,,,,,,,,,,,The Washington Post,photo/WST47.png,WST04,WST04,30,WST
5-Sep,Where are we supposed to go? Scenes from Harveys aftermath,x,,,,,x,,,,https://www.washingtonpost.com/graphics/2017/national/harvey-rescues/?hpid=hp_hp-top-table-main_emotion-graphic-3am%3Ahomepage%2Fstory&utm_term=.adfce02cee48,,,,,,,,,,,,,,,,,The Washington Post,photo/WST561.png,WST05,WST05,30,WST
6-Sep,What the flooding and rescues of Hurricane Harvey look like,x,,,,x,,,,,https://www.washingtonpost.com/graphics/2017/national/harvey-video/?utm_term=.d2deb9efdaa1,,,,,,,,,,,,,,,,,The Washington Post,photo/WST15.png,WST06,WST06,30,WST
4-Oct,How the Las Vegas Strip Shooting Unfolded,x,,,,,,,,x,https://www.washingtonpost.com/graphics/2017/national/las-vegas-shooting/?hpid=hp_visual-stories-desktop_no-name%3Ahomepage%2Fstory&utm_term=.f4361622ed87,,,,,,,,,,,,,,,,,The Washington Post,photo/WST48.png,WST07,WST07,30,WST
18-Oct,Mapping the Wildfires in Northern California's Wine Country,x,,,,,,x,,,https://www.washingtonpost.com/graphics/2017/national/northern-california-fires/?hpid=hp_hp-visual-stories-desktop_no-name:homepage/story&utm_campaign=buffer&utm_content=bufferad328&utm_medium=social&utm_source=twitter.com&utm_term=.43a1412fd7e3,,,,,,,,,,,,,,,,,The Washington Post,photo/WST562.png,WST08,WST08,30,WST
18-Oct,The New Reality of Old Age in America,,,x,,,,,,x,https://www.washingtonpost.com/graphics/2017/national/seniors-financial-insecurity/?tid=pm_graphics_pop_b&utm_term=.6bf00131bd11,,,,,,,,,,,,,,,,,The Washington Post,photo/WST50.png,WST09,WST09,30,WST
3-Sep,Mapping the Eclipse,x,,,,,,,x,,https://www.washingtonpost.com/graphics/national/mapping-the-2017-eclipse/?utm_term=.872347276b22,,,,,,,,,,,,,,,,,The Washington Post,photo/WST01.png,WST10,WST10,30,WST
3-Oct,"Fifty Years of U.S. Mass Shootings: The Victims, Sites, Killers, and Weapons",,x,,,,,,x,,https://www.washingtonpost.com/graphics/national/mass-shootings-in-america/,,,,,,,,,,,,,,,,,The Washington Post,photo/WST02.png,WST11,WST11,30,WST
4-Oct,Police Shootings 2016 Database,,x,,,,,,x,,https://www.washingtonpost.com/graphics/national/police-shootings-2016/,,,,,,,,,,,,,,,,,The Washington Post,photo/WST06.png,WST12,WST12,30,WST
20-Sep,Raising Barriers: A New Age of Walls,,,x,,,,,x,,https://www.washingtonpost.com/graphics/world/border-barriers/global-illegal-immigration-prevention/,,,,,,,,,,,,,,,,,The Washington Post,photo/WST34.png,WST13,WST13,30,WST
4-Oct,How Every NFL Teams Fans Lean Politically,,x,,,,,,,x,https://fivethirtyeight.com/features/how-every-nfl-teams-fans-lean-politically/,,,,,,,,,,,,,,,,,FiveThirty-Eight,photo/f4.png,fivethirtyeight1,fivethirtyeight1,30,fivethirtyeight
6-Sep,The Players Too Busy Complaining to Get Back on D,,,,x,,,,,,https://fivethirtyeight.com/features/the-nba-players-who-are-too-busy-complaining-to-get-back-on-d/,,,,,,,,,,,,,,,,,FiveThirty-Eight,photo/f1.png,fivethirtyeight2,fivethirtyeight2,30,fivethirtyeight
13-Sep,The Complete History of the Warriors,,,,x,,,,x,,https://projects.fivethirtyeight.com/complete-history-of-the-nba/#warriors,,,,,,,,,,,,,,,,,FiveThirty-Eight,photo/f2.png,fivethirtyeight3,fivethirtyeight3,30,fivethirtyeight
16-Oct,Tracking Congress in the Age of Trump,,x,,,,,,x,,https://projects.fivethirtyeight.com/congress-trump-score/,,,,,,,,,,,,,,,,,FiveThirty-Eight,photo/f6.png,fivethirtyeight4,fivethirtyeight4,30,fivethirtyeight
12-Oct,The (Very) Long Tail Of Hurricane Recovery,,x,,,,,,x,,https://projects.fivethirtyeight.com/sandy-311/,,,,,,,,,,,,,,,,,FiveThirty-Eight,photo/f5.png,fivethirtyeight5,fivethirtyeight5,30,fivethirtyeight
4-Oct,How Popular is Donald Trump?,,x,,,,,,x,,https://projects.fivethirtyeight.com/trump-approval-ratings/,,,,,,,,,,,,,,,,,FiveThirty-Eight,photo/f3.png,fivethirtyeight6,fivethirtyeight6,30,fivethirtyeight
18-Sep,Seven Digital Deadly Sins: An Interactive Reflection of Our Digital Selves,,,x,,,,,x,,http://digital-deadly-sins.theguardian.com/#/home,,,,,,,,,,,,,,,,,The Guardian,photo/g3.png,the guardian1,theguardian1,30,The Guardian
13-Sep,Every hip hop record label sorted by their artists' chart performance ,,,x,,,,,x,,https://pudding.cool/2017/03/labels/,,,,,,,,,,,,,,,,,The Pudding,photo/ThePudding2.png,the pudding1,thepudding1,30,The Pudding
17-Sep,"Historic NBA games and plays, ranked by YouTube views",,,,,x,,,,x,https://pudding.cool/2017/05/nba-moments/,,,,,,,,,,,,,,,,,The Pudding,photo/ThePudding3.png,the pudding2,thepudding2,30,The Pudding
27-Sep,The Language of Hip-Hop,,x,,,,,,x,,https://pudding.cool/2017/09/hip-hop-words/,,,,,,,,,,,,,,,,,The Pudding,photo/ThePudding1.png,the pudding3,thepudding3,30,The Pudding
22-Oct,The Path to Power in China,,x,,,,,x,,,https://www.bloomberg.com/graphics/2017-china-party-congress/,,,,,,,,,,,,,,,,,Bloomberg,photo/b1.png,bloomberg1,bloomberg1,30,Bloomberg
9-Oct,Ireland Tops U.S. as the Country Best Able to Feed its People,,x,,,,,x,,,https://www.bloomberg.com/graphics/2017-food-security/,,,,,,,,,,,,,,,,,Bloomberg,photo/b4.png,bloomberg2,bloomberg2,30,Bloomberg
11-Oct,Dollar General Hits a Gold Mine in Rural America,,,x,,,,,,x,https://www.bloomberg.com/news/features/2017-10-11/dollar-general-hits-a-gold-mine-in-rural-america,,,,,,,,,,,,,,,,,Bloomberg,photo/b3.png,bloomberg3,bloomberg3,30,Bloomberg
14-Oct,Homan Square: A Portrait of Chicago's Detainees,,,x,,,,,x,,https://www.theguardian.com/us-news/ng-interactive/2015/oct/19/homan-square-chicago-police-detainees,,,,,,,,,,,,,,,,,The Guardian,photo/g2.png,the guardian2,theguardian2,30,The Guardian
3-Oct,"1,516 mass shootings in 1,735 days: America's gun crisis – in one chart",x,,,,,,x,,,https://www.theguardian.com/us-news/ng-interactive/2017/oct/02/america-mass-shootings-gun-violence,,,,,,,,,,,,,,,,,The Guardian,photo/g1.png,the guardian3,theguardian3,30,The Guardian
